region,oborot_rozn
белгородская,234540.4
брянская,162829.9
владимирская,129173.40000000002
воронежская,394083.30000000005
ивановская,99427.1
калужская,119209.59999999999
костромская,69401.70000000001
курская,135958.9
липецкая,157306.4
московская,1833061.7
орловская,87344.09999999999
рязанская,125769.4
смоленская,95473.9
тамбовская,110586.30000000002
тверская,138080.99999999997
тульская,177402.5
ярославская,145614.09999999998
москва,3071872.0
карелия,68705.9
коми,90088.19999999998
ненецкий,3702.3
архангельская,145308.8
вологодская,109544.8
калининградская,120032.7
ленинградская,319342.99999999994
мурманская,75040.9
новгородская,66142.5
псковская,75793.70000000001
санкт-петербург,1293351.1
адыгея,104429.0
калмыкия,13364.099999999999
крым,169091.19999999998
краснодарский,1030317.2000000001
астраханская,114538.0
волгоградская,262497.7
ростовская,584123.4
севастополь,48726.1
дагестан,292385.3
ингушетия,15771.4
кабардино-балкарская,97890.7
карачаево-черкесская,20560.799999999996
северная,66311.5
чеченская,99784.9
ставропольский,319201.6
башкортостан,499416.3
марий,53791.2
мордовия,61610.299999999996
татарстан,621607.7
удмуртская,128088.90000000002
чувашская,106766.1
пермский,329999.29999999993
кировская,119865.8
нижегородская,450860.19999999995
оренбургская,206861.3
пензенская,132674.9
самарская,399752.0
саратовская,243887.0
ульяновская,113880.2
курганская,67830.1
свердловская,657119.8999999999
ханты-мансийский,258589.69999999998
ямало-ненецкий,84883.49999999999
тюменская,246037.09999999998
челябинская,381069.69999999995
алтай,19298.9
тыва,15326.3
хакасия,50368.600000000006
алтайский,206633.4
красноярский,348670.79999999993
иркутская,248658.59999999998
кемеровская,245755.7
новосибирская,370623.9
омская,214406.89999999997
томская,108874.79999999999
бурятия,101765.90000000001
саха,149620.40000000002
забайкальский,97071.1
камчатский,31084.5
приморский,254925.1
хабаровский,165508.0
амурская,111803.0
магаданская,19296.2
сахалинская,85039.9
еврейская,13503.500000000002
чукотский,3603.3999999999996
