region,population
белгородская,1540
брянская,1169
владимирская,1348
воронежская,2309
ивановская,928
калужская,1070
костромская,581
курская,1082
липецкая,1143
московская,8532
орловская,713
рязанская,1103
смоленская,888
тамбовская,983
тверская,1230
тульская,1501
ярославская,1210
москва,13010
карелия,533
коми,738
ненецкий,41
архангельская,979
вологодская,1143
калининградская,1030
ленинградская,2001
мурманская,668
новгородская,583
псковская,600
санкт-петербург,5602
адыгея,497
калмыкия,267
крым,1935
краснодарский,5838
астраханская,960
волгоградская,2501
ростовская,4201
севастополь,548
дагестан,3182
ингушетия,510
кабардино-балкарская,904
карачаево-черкесская,470
северная,687
чеченская,1511
ставропольский,2908
башкортостан,4091
марий,677
мордовия,784
татарстан,4005
удмуртская,1453
чувашская,1187
пермский,2532
кировская,1154
нижегородская,3119
оренбургская,1863
пензенская,1266
самарская,3173
саратовская,2443
ульяновская,1197
курганская,777
свердловская,4269
ханты-мансийский,1711
ямало-ненецкий,510
тюменская,1602
челябинская,3431
алтай,211
тыва,337
хакасия,535
алтайский,2164
красноярский,2857
иркутская,2370
кемеровская,2601
новосибирская,2798
омская,1859
томская,1063
бурятия,979
саха,996
забайкальский,1004
камчатский,292
приморский,1845
хабаровский,1293
амурская,767
магаданская,136
сахалинская,467
еврейская,150
чукотский,47
