region,zarplata
белгородская,34999
брянская,28552
владимирская,32368
воронежская,32706
ивановская,25909
калужская,39817
костромская,30290
курская,33551
липецкая,33186
московская,51548
орловская,30495
рязанская,33796
смоленская,30893
тамбовская,28754
тверская,33267
тульская,36298
ярославская,34623
москва,82185
карелия,41918
коми,52843
ненецкий,89769
архангельская,49200
вологодская,38526
калининградская,34764
ленинградская,43595
мурманская,64819
новгородская,32742
псковская,29519
санкт-петербург,61991
адыгея,30155
калмыкия,26926
крым,30318
краснодарский,34492
астраханская,32035
волгоградская,30143
ростовская,31730
севастополь,34745
дагестан,24348
ингушетия,24663
кабардино-балкарская,24071
карачаево-черкесская,25679
северная,25652
чеченская,25530
ставропольский,29259
башкортостан,35973
марий,29561
мордовия,28029
татарстан,38240
удмуртская,33005
чувашская,29813
пермский,37598
кировская,29836
нижегородская,35824
оренбургская,33348
пензенская,28971
самарская,35094
саратовская,31040
ульяновская,29444
курганская,30956
свердловская,41672
ханты-мансийский,71797
ямало-ненецкий,104272
тюменская,47222
челябинская,35636
алтай,33704
тыва,38983
хакасия,39253
алтайский,27523
красноярский,50204
иркутская,46021
кемеровская,40392
новосибирская,39467
омская,33438
томская,41006
бурятия,37337
саха,71374
забайкальский,41872
камчатский,77839
приморский,45698
хабаровский,49783
амурская,48964
магаданская,95806
сахалинская,76979
еврейская,42641
чукотский,114530
